Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2017,628333,Sunrisers,335970,RCB,628333,Sunrisers,35 runs,Hyderabad (Deccan),"Apr 5, 2017",/ci/engine/match/1082591.html
2017,968721,Supergiant,335978,Mum Indians,968721,Supergiant,7 wickets,Pune,"Apr 6, 2017",/ci/engine/match/1082592.html
2017,968725,Guj Lions,335971,KKR,335971,KKR,10 wickets,Rajkot,"Apr 7, 2017",/ci/engine/match/1082593.html
2017,335973,Kings XI,968721,Supergiant,335973,Kings XI,6 wickets,Indore,"Apr 8, 2017",/ci/engine/match/1082594.html
2017,335970,RCB,335975,Daredevils,335970,RCB,15 runs,Bengaluru,"Apr 8, 2017",/ci/engine/match/1082595.html
2017,628333,Sunrisers,968725,Guj Lions,628333,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 9, 2017",/ci/engine/match/1082596.html
2017,335978,Mum Indians,335971,KKR,335978,Mum Indians,4 wickets,Mumbai,"Apr 9, 2017",/ci/engine/match/1082597.html
2017,335973,Kings XI,335970,RCB,335973,Kings XI,8 wickets,Indore,"Apr 10, 2017",/ci/engine/match/1082598.html
2017,968721,Supergiant,335975,Daredevils,335975,Daredevils,97 runs,Pune,"Apr 11, 2017",/ci/engine/match/1082599.html
2017,335978,Mum Indians,628333,Sunrisers,335978,Mum Indians,4 wickets,Mumbai,"Apr 12, 2017",/ci/engine/match/1082600.html
2017,335971,KKR,335973,Kings XI,335971,KKR,8 wickets,Kolkata,"Apr 13, 2017",/ci/engine/match/1082601.html
2017,335970,RCB,335978,Mum Indians,335978,Mum Indians,4 wickets,Bengaluru,"Apr 14, 2017",/ci/engine/match/1082602.html
2017,968725,Guj Lions,968721,Supergiant,968725,Guj Lions,7 wickets,Rajkot,"Apr 14, 2017",/ci/engine/match/1082603.html
2017,335971,KKR,628333,Sunrisers,335971,KKR,17 runs,Kolkata,"Apr 15, 2017",/ci/engine/match/1082604.html
2017,335975,Daredevils,335973,Kings XI,335975,Daredevils,51 runs,Delhi,"Apr 15, 2017",/ci/engine/match/1082605.html
2017,335978,Mum Indians,968725,Guj Lions,335978,Mum Indians,6 wickets,Mumbai,"Apr 16, 2017",/ci/engine/match/1082606.html
2017,335970,RCB,968721,Supergiant,968721,Supergiant,27 runs,Bengaluru,"Apr 16, 2017",/ci/engine/match/1082607.html
2017,335975,Daredevils,335971,KKR,335971,KKR,4 wickets,Delhi,"Apr 17, 2017",/ci/engine/match/1082608.html
2017,628333,Sunrisers,335973,Kings XI,628333,Sunrisers,5 runs,Hyderabad (Deccan),"Apr 17, 2017",/ci/engine/match/1082609.html
2017,968725,Guj Lions,335970,RCB,335970,RCB,21 runs,Rajkot,"Apr 18, 2017",/ci/engine/match/1082610.html
2017,628333,Sunrisers,335975,Daredevils,628333,Sunrisers,15 runs,Hyderabad (Deccan),"Apr 19, 2017",/ci/engine/match/1082611.html
2017,335973,Kings XI,335978,Mum Indians,335978,Mum Indians,8 wickets,Indore,"Apr 20, 2017",/ci/engine/match/1082612.html
2017,335971,KKR,968725,Guj Lions,968725,Guj Lions,4 wickets,Kolkata,"Apr 21, 2017",/ci/engine/match/1082613.html
2017,968721,Supergiant,628333,Sunrisers,968721,Supergiant,6 wickets,Pune,"Apr 22, 2017",/ci/engine/match/1082615.html
2017,335978,Mum Indians,335975,Daredevils,335978,Mum Indians,14 runs,Mumbai,"Apr 22, 2017",/ci/engine/match/1082614.html
2017,968725,Guj Lions,335973,Kings XI,335973,Kings XI,26 runs,Rajkot,"Apr 23, 2017",/ci/engine/match/1082616.html
2017,335971,KKR,335970,RCB,335971,KKR,82 runs,Kolkata,"Apr 23, 2017",/ci/engine/match/1082617.html
2017,335978,Mum Indians,968721,Supergiant,968721,Supergiant,3 runs,Mumbai,"Apr 24, 2017",/ci/engine/match/1082618.html
2017,335970,RCB,628333,Sunrisers,,abandoned,,Bengaluru,"Apr 25, 2017",/ci/engine/match/1082619.html
2017,968721,Supergiant,335971,KKR,335971,KKR,7 wickets,Pune,"Apr 26, 2017",/ci/engine/match/1082620.html
2017,335970,RCB,968725,Guj Lions,968725,Guj Lions,7 wickets,Bengaluru,"Apr 27, 2017",/ci/engine/match/1082621.html
2017,335971,KKR,335975,Daredevils,335971,KKR,7 wickets,Kolkata,"Apr 28, 2017",/ci/engine/match/1082622.html
2017,335973,Kings XI,628333,Sunrisers,628333,Sunrisers,26 runs,Mohali,"Apr 28, 2017",/ci/engine/match/1082623.html
2017,968721,Supergiant,335970,RCB,968721,Supergiant,61 runs,Pune,"Apr 29, 2017",/ci/engine/match/1082624.html
2017,968725,Guj Lions,335978,Mum Indians,,tied,,Rajkot,"Apr 29, 2017",/ci/engine/match/1082625.html
2017,335973,Kings XI,335975,Daredevils,335973,Kings XI,10 wickets,Mohali,"Apr 30, 2017",/ci/engine/match/1082626.html
2017,628333,Sunrisers,335971,KKR,628333,Sunrisers,48 runs,Hyderabad (Deccan),"Apr 30, 2017",/ci/engine/match/1082627.html
2017,335978,Mum Indians,335970,RCB,335978,Mum Indians,5 wickets,Mumbai,"May 1, 2017",/ci/engine/match/1082628.html
2017,968721,Supergiant,968725,Guj Lions,968721,Supergiant,5 wickets,Pune,"May 1, 2017",/ci/engine/match/1082629.html
2017,335975,Daredevils,628333,Sunrisers,335975,Daredevils,6 wickets,Delhi,"May 2, 2017",/ci/engine/match/1082630.html
2017,335971,KKR,968721,Supergiant,968721,Supergiant,4 wickets,Kolkata,"May 3, 2017",/ci/engine/match/1082631.html
2017,335975,Daredevils,968725,Guj Lions,335975,Daredevils,7 wickets,Delhi,"May 4, 2017",/ci/engine/match/1082632.html
2017,335970,RCB,335973,Kings XI,335973,Kings XI,19 runs,Bengaluru,"May 5, 2017",/ci/engine/match/1082633.html
