Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2018,335978,Mum Indians,335974,Super Kings,335974,Super Kings,1 wicket,Mumbai,"Apr 7, 2018",/ci/engine/match/1136561.html
2018,335973,Kings XI,335975,Daredevils,335973,Kings XI,6 wickets,Mohali,"Apr 8, 2018",/ci/engine/match/1136562.html
2018,335971,KKR,335970,RCB,335971,KKR,4 wickets,Kolkata,"Apr 8, 2018",/ci/engine/match/1136563.html
2018,628333,Sunrisers,335977,Royals,628333,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 9, 2018",/ci/engine/match/1136564.html
2018,335974,Super Kings,335971,KKR,335974,Super Kings,5 wickets,Chennai,"Apr 10, 2018",/ci/engine/match/1136565.html
2018,335977,Royals,335975,Daredevils,335977,Royals,10 runs,Jaipur,"Apr 11, 2018",/ci/engine/match/1136566.html
2018,628333,Sunrisers,335978,Mum Indians,628333,Sunrisers,1 wicket,Hyderabad (Deccan),"Apr 12, 2018",/ci/engine/match/1136567.html
2018,335970,RCB,335973,Kings XI,335970,RCB,4 wickets,Bengaluru,"Apr 13, 2018",/ci/engine/match/1136568.html
2018,335978,Mum Indians,335975,Daredevils,335975,Daredevils,7 wickets,Mumbai,"Apr 14, 2018",/ci/engine/match/1136569.html
2018,335971,KKR,628333,Sunrisers,628333,Sunrisers,5 wickets,Kolkata,"Apr 14, 2018",/ci/engine/match/1136570.html
2018,335970,RCB,335977,Royals,335977,Royals,19 runs,Bengaluru,"Apr 15, 2018",/ci/engine/match/1136571.html
2018,335973,Kings XI,335974,Super Kings,335973,Kings XI,4 runs,Mohali,"Apr 15, 2018",/ci/engine/match/1136572.html
2018,335971,KKR,335975,Daredevils,335971,KKR,71 runs,Kolkata,"Apr 16, 2018",/ci/engine/match/1136573.html
2018,335978,Mum Indians,335970,RCB,335978,Mum Indians,46 runs,Mumbai,"Apr 17, 2018",/ci/engine/match/1136574.html
2018,335977,Royals,335971,KKR,335971,KKR,7 wickets,Jaipur,"Apr 18, 2018",/ci/engine/match/1136575.html
2018,335973,Kings XI,628333,Sunrisers,335973,Kings XI,15 runs,Mohali,"Apr 19, 2018",/ci/engine/match/1136576.html
2018,335974,Super Kings,335977,Royals,335974,Super Kings,64 runs,Pune,"Apr 20, 2018",/ci/engine/match/1136577.html
2018,335971,KKR,335973,Kings XI,335973,Kings XI,9 wickets,Kolkata,"Apr 21, 2018",/ci/engine/match/1136578.html
2018,335970,RCB,335975,Daredevils,335970,RCB,6 wickets,Bengaluru,"Apr 21, 2018",/ci/engine/match/1136579.html
2018,628333,Sunrisers,335974,Super Kings,335974,Super Kings,4 runs,Hyderabad (Deccan),"Apr 22, 2018",/ci/engine/match/1136580.html
2018,335977,Royals,335978,Mum Indians,335977,Royals,3 wickets,Jaipur,"Apr 22, 2018",/ci/engine/match/1136581.html
2018,335975,Daredevils,335973,Kings XI,335973,Kings XI,4 runs,Delhi,"Apr 23, 2018",/ci/engine/match/1136582.html
2018,335978,Mum Indians,628333,Sunrisers,628333,Sunrisers,31 runs,Mumbai,"Apr 24, 2018",/ci/engine/match/1136583.html
2018,335970,RCB,335974,Super Kings,335974,Super Kings,5 wickets,Bengaluru,"Apr 25, 2018",/ci/engine/match/1136584.html
2018,628333,Sunrisers,335973,Kings XI,628333,Sunrisers,13 runs,Hyderabad (Deccan),"Apr 26, 2018",/ci/engine/match/1136585.html
2018,335975,Daredevils,335971,KKR,335975,Daredevils,55 runs,Delhi,"Apr 27, 2018",/ci/engine/match/1136586.html
2018,335974,Super Kings,335978,Mum Indians,335978,Mum Indians,8 wickets,Pune,"Apr 28, 2018",/ci/engine/match/1136587.html
2018,335977,Royals,628333,Sunrisers,628333,Sunrisers,11 runs,Jaipur,"Apr 29, 2018",/ci/engine/match/1136588.html
2018,335970,RCB,335971,KKR,335971,KKR,6 wickets,Bengaluru,"Apr 29, 2018",/ci/engine/match/1136589.html
2018,335974,Super Kings,335975,Daredevils,335974,Super Kings,13 runs,Pune,"Apr 30, 2018",/ci/engine/match/1136590.html
2018,335970,RCB,335978,Mum Indians,335970,RCB,14 runs,Bengaluru,"May 1, 2018",/ci/engine/match/1136591.html
2018,335975,Daredevils,335977,Royals,335975,Daredevils,4 runs,Delhi,"May 2, 2018",/ci/engine/match/1136592.html
