Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2014,335978,Mum Indians,335971,KKR,335971,KKR,41 runs,Abu Dhabi,"Apr 16, 2014",/ci/engine/match/729279.html
2014,335975,Daredevils,335970,RCB,335970,RCB,8 wickets,Sharjah,"Apr 17, 2014",/ci/engine/match/729281.html
2014,335974,Super Kings,335973,Kings XI,335973,Kings XI,6 wickets,Abu Dhabi,"Apr 18, 2014",/ci/engine/match/729283.html
2014,628333,Sunrisers,335977,Royals,335977,Royals,4 wickets,Abu Dhabi,"Apr 18, 2014",/ci/engine/match/729285.html
2014,335970,RCB,335978,Mum Indians,335970,RCB,7 wickets,Dubai (DSC),"Apr 19, 2014",/ci/engine/match/729287.html
2014,335971,KKR,335975,Daredevils,335975,Daredevils,4 wickets,Dubai (DSC),"Apr 19, 2014",/ci/engine/match/729289.html
2014,335977,Royals,335973,Kings XI,335973,Kings XI,7 wickets,Sharjah,"Apr 20, 2014",/ci/engine/match/729291.html
2014,335974,Super Kings,335975,Daredevils,335974,Super Kings,93 runs,Abu Dhabi,"Apr 21, 2014",/ci/engine/match/729293.html
2014,335973,Kings XI,628333,Sunrisers,335973,Kings XI,72 runs,Sharjah,"Apr 22, 2014",/ci/engine/match/729295.html
2014,335977,Royals,335974,Super Kings,335974,Super Kings,7 runs,Dubai (DSC),"Apr 23, 2014",/ci/engine/match/729297.html
2014,335970,RCB,335971,KKR,335971,KKR,2 runs,Sharjah,"Apr 24, 2014",/ci/engine/match/729299.html
2014,628333,Sunrisers,335975,Daredevils,628333,Sunrisers,4 runs,Dubai (DSC),"Apr 25, 2014",/ci/engine/match/729301.html
2014,335974,Super Kings,335978,Mum Indians,335974,Super Kings,7 wickets,Dubai (DSC),"Apr 25, 2014",/ci/engine/match/729303.html
2014,335977,Royals,335970,RCB,335977,Royals,6 wickets,Abu Dhabi,"Apr 26, 2014",/ci/engine/match/729305.html
2014,335971,KKR,335973,Kings XI,335973,Kings XI,23 runs,Abu Dhabi,"Apr 26, 2014",/ci/engine/match/729307.html
2014,335975,Daredevils,335978,Mum Indians,335975,Daredevils,6 wickets,Sharjah,"Apr 27, 2014",/ci/engine/match/729309.html
2014,628333,Sunrisers,335974,Super Kings,335974,Super Kings,5 wickets,Sharjah,"Apr 27, 2014",/ci/engine/match/729311.html
2014,335973,Kings XI,335970,RCB,335973,Kings XI,5 wickets,Dubai (DSC),"Apr 28, 2014",/ci/engine/match/729313.html
2014,335971,KKR,335977,Royals,,tied,,Abu Dhabi,"Apr 29, 2014",/ci/engine/match/729315.html
2014,335978,Mum Indians,628333,Sunrisers,628333,Sunrisers,15 runs,Dubai (DSC),"Apr 30, 2014",/ci/engine/match/729317.html
2014,335974,Super Kings,335971,KKR,335974,Super Kings,34 runs,Ranchi,"May 2, 2014",/ci/engine/match/733971.html
2014,335978,Mum Indians,335973,Kings XI,335978,Mum Indians,5 wickets,Mumbai,"May 3, 2014",/ci/engine/match/733973.html
2014,335975,Daredevils,335977,Royals,335977,Royals,7 wickets,Delhi,"May 3, 2014",/ci/engine/match/733975.html
2014,335970,RCB,628333,Sunrisers,335970,RCB,4 wickets,Bengaluru,"May 4, 2014",/ci/engine/match/733977.html
2014,335977,Royals,335971,KKR,335977,Royals,10 runs,Ahmedabad,"May 5, 2014",/ci/engine/match/733979.html
2014,335975,Daredevils,335974,Super Kings,335974,Super Kings,8 wickets,Delhi,"May 5, 2014",/ci/engine/match/733981.html
2014,335978,Mum Indians,335970,RCB,335978,Mum Indians,19 runs,Mumbai,"May 6, 2014",/ci/engine/match/733983.html
2014,335975,Daredevils,335971,KKR,335971,KKR,8 wickets,Delhi,"May 7, 2014",/ci/engine/match/733985.html
