Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2019,335974,Super Kings,335970,RCB,335974,Super Kings,7 wickets,Chennai,"Mar 23, 2019",/ci/engine/match/1175356.html
2019,335971,KKR,628333,Sunrisers,335971,KKR,6 wickets,Kolkata,"Mar 24, 2019",/ci/engine/match/1175357.html
2019,335978,Mum Indians,335975,Capitals,335975,Capitals,37 runs,Mumbai,"Mar 24, 2019",/ci/engine/match/1175358.html
2019,335977,Royals,335973,Kings XI,335973,Kings XI,14 runs,Jaipur,"Mar 25, 2019",/ci/engine/match/1175359.html
2019,335975,Capitals,335974,Super Kings,335974,Super Kings,6 wickets,Delhi,"Mar 26, 2019",/ci/engine/match/1175360.html
2019,335971,KKR,335973,Kings XI,335971,KKR,28 runs,Kolkata,"Mar 27, 2019",/ci/engine/match/1175361.html
2019,335970,RCB,335978,Mum Indians,335978,Mum Indians,6 runs,Bengaluru,"Mar 28, 2019",/ci/engine/match/1175362.html
2019,628333,Sunrisers,335977,Royals,628333,Sunrisers,5 wickets,Hyderabad (Deccan),"Mar 29, 2019",/ci/engine/match/1175363.html
2019,335973,Kings XI,335978,Mum Indians,335973,Kings XI,8 wickets,Mohali,"Mar 30, 2019",/ci/engine/match/1175364.html
2019,335975,Capitals,335971,KKR,,tied,,Delhi,"Mar 30, 2019",/ci/engine/match/1175365.html
2019,628333,Sunrisers,335970,RCB,628333,Sunrisers,118 runs,Hyderabad (Deccan),"Mar 31, 2019",/ci/engine/match/1175366.html
2019,335974,Super Kings,335977,Royals,335974,Super Kings,8 runs,Chennai,"Mar 31, 2019",/ci/engine/match/1175367.html
2019,335973,Kings XI,335975,Capitals,335973,Kings XI,14 runs,Mohali,"Apr 1, 2019",/ci/engine/match/1175368.html
2019,335977,Royals,335970,RCB,335977,Royals,7 wickets,Jaipur,"Apr 2, 2019",/ci/engine/match/1175369.html
2019,335978,Mum Indians,335974,Super Kings,335978,Mum Indians,37 runs,Mumbai,"Apr 3, 2019",/ci/engine/match/1175370.html
2019,335975,Capitals,628333,Sunrisers,628333,Sunrisers,5 wickets,Delhi,"Apr 4, 2019",/ci/engine/match/1175371.html
2019,335970,RCB,335971,KKR,335971,KKR,5 wickets,Bengaluru,"Apr 5, 2019",/ci/engine/match/1175372.html
2019,335974,Super Kings,335973,Kings XI,335974,Super Kings,22 runs,Chennai,"Apr 6, 2019",/ci/engine/match/1178393.html
2019,628333,Sunrisers,335978,Mum Indians,335978,Mum Indians,40 runs,Hyderabad (Deccan),"Apr 6, 2019",/ci/engine/match/1178394.html
2019,335970,RCB,335975,Capitals,335975,Capitals,4 wickets,Bengaluru,"Apr 7, 2019",/ci/engine/match/1178395.html
2019,335977,Royals,335971,KKR,335971,KKR,8 wickets,Jaipur,"Apr 7, 2019",/ci/engine/match/1178396.html
2019,335973,Kings XI,628333,Sunrisers,335973,Kings XI,6 wickets,Mohali,"Apr 8, 2019",/ci/engine/match/1178397.html
2019,335974,Super Kings,335971,KKR,335974,Super Kings,7 wickets,Chennai,"Apr 9, 2019",/ci/engine/match/1178398.html
2019,335978,Mum Indians,335973,Kings XI,335978,Mum Indians,3 wickets,Mumbai,"Apr 10, 2019",/ci/engine/match/1178399.html
2019,335977,Royals,335974,Super Kings,335974,Super Kings,4 wickets,Jaipur,"Apr 11, 2019",/ci/engine/match/1178400.html
2019,335971,KKR,335975,Capitals,335975,Capitals,7 wickets,Kolkata,"Apr 12, 2019",/ci/engine/match/1178401.html
2019,335978,Mum Indians,335977,Royals,335977,Royals,4 wickets,Mumbai,"Apr 13, 2019",/ci/engine/match/1178402.html
2019,335973,Kings XI,335970,RCB,335970,RCB,8 wickets,Mohali,"Apr 13, 2019",/ci/engine/match/1178403.html
2019,335971,KKR,335974,Super Kings,335974,Super Kings,5 wickets,Kolkata,"Apr 14, 2019",/ci/engine/match/1178404.html
2019,628333,Sunrisers,335975,Capitals,335975,Capitals,39 runs,Hyderabad (Deccan),"Apr 14, 2019",/ci/engine/match/1178405.html
2019,335978,Mum Indians,335970,RCB,335978,Mum Indians,5 wickets,Mumbai,"Apr 15, 2019",/ci/engine/match/1178406.html
2019,335973,Kings XI,335977,Royals,335973,Kings XI,12 runs,Mohali,"Apr 16, 2019",/ci/engine/match/1178407.html
2019,628333,Sunrisers,335974,Super Kings,628333,Sunrisers,6 wickets,Hyderabad (Deccan),"Apr 17, 2019",/ci/engine/match/1178408.html
