Season,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link
2012,Super Kings,Mum Indians,Mum Indians,8 wickets,Chennai,"Apr 4, 2012",T20,/ci/engine/match/548306.html
2012,KKR,Daredevils,Daredevils,8 wickets,Kolkata,"Apr 5, 2012",T20,/ci/engine/match/548307.html
2012,Mum Indians,Warriors,Warriors,28 runs,Mumbai,"Apr 6, 2012",T20,/ci/engine/match/548308.html
2012,Royals,Kings XI,Royals,31 runs,Jaipur,"Apr 6, 2012",T20,/ci/engine/match/548309.html
2012,RCB,Daredevils,RCB,20 runs,Bengaluru,"Apr 7, 2012",T20,/ci/engine/match/548310.html
2012,Chargers,Super Kings,Super Kings,74 runs,Visakhapatnam,"Apr 7, 2012",T20,/ci/engine/match/548311.html
2012,Royals,KKR,Royals,22 runs,Jaipur,"Apr 8, 2012",T20,/ci/engine/match/548312.html
2012,Warriors,Kings XI,Warriors,22 runs,Pune,"Apr 8, 2012",T20,/ci/engine/match/548313.html
2012,Chargers,Mum Indians,Mum Indians,5 wickets,Visakhapatnam,"Apr 9, 2012",T20,/ci/engine/match/548314.html
2012,RCB,KKR,KKR,42 runs,Bengaluru,"Apr 10, 2012",T20,/ci/engine/match/548315.html
2012,Daredevils,Super Kings,Daredevils,8 wickets,Delhi,"Apr 10, 2012",T20,/ci/engine/match/548316.html
2012,Mum Indians,Royals,Mum Indians,27 runs,Mumbai,"Apr 11, 2012",T20,/ci/engine/match/548317.html
2012,Super Kings,RCB,Super Kings,5 wickets,Chennai,"Apr 12, 2012",T20,/ci/engine/match/548318.html
2012,Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 12, 2012",T20,/ci/engine/match/548319.html
2012,KKR,Royals,KKR,5 wickets,Kolkata,"Apr 13, 2012",T20,/ci/engine/match/548320.html
2012,Warriors,Super Kings,Warriors,7 wickets,Pune,"Apr 14, 2012",T20,/ci/engine/match/548322.html
2012,KKR,Kings XI,Kings XI,2 runs,Kolkata,"Apr 15, 2012",T20,/ci/engine/match/548323.html
2012,RCB,Royals,Royals,59 runs,Bengaluru,"Apr 15, 2012",T20,/ci/engine/match/548324.html
2012,Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,"Apr 16, 2012",T20,/ci/engine/match/548325.html
2012,Royals,Chargers,Royals,5 wickets,Jaipur,"Apr 17, 2012",T20,/ci/engine/match/548326.html
2012,RCB,Warriors,RCB,6 wickets,Bengaluru,"Apr 17, 2012",T20,/ci/engine/match/548327.html
2012,Kings XI,KKR,KKR,8 wickets,Mohali,"Apr 18, 2012",T20,/ci/engine/match/548328.html
2012,Daredevils,Chargers,Daredevils,5 wickets,Delhi,"Apr 19, 2012",T20,/ci/engine/match/548321.html
2012,Super Kings,Warriors,Super Kings,13 runs,Chennai,"Apr 19, 2012",T20,/ci/engine/match/548330.html
2012,Kings XI,RCB,RCB,5 wickets,Mohali,"Apr 20, 2012",T20,/ci/engine/match/548331.html
2012,Super Kings,Royals,Super Kings,7 wickets,Chennai,"Apr 21, 2012",T20,/ci/engine/match/548332.html
2012,Daredevils,Warriors,Warriors,20 runs,Delhi,"Apr 21, 2012",T20,/ci/engine/match/548333.html
2012,Mum Indians,Kings XI,Kings XI,6 wickets,Mumbai,"Apr 22, 2012",T20,/ci/engine/match/548334.html
2012,Chargers,KKR,KKR,5 wickets,Cuttack,"Apr 22, 2012",T20,/ci/engine/match/548335.html
2012,Royals,RCB,RCB,46 runs,Jaipur,"Apr 23, 2012",T20,/ci/engine/match/548336.html
2012,Warriors,Daredevils,Daredevils,8 wickets,Pune,"Apr 24, 2012",T20,/ci/engine/match/548337.html
2012,KKR,Chargers,abandoned,,Kolkata,"Apr 24, 2012",T20,/ci/engine/match/548338.html
2012,Kings XI,Mum Indians,Mum Indians,4 wickets,Mohali,"Apr 25, 2012",T20,/ci/engine/match/548339.html
2012,RCB,Super Kings,no result,,Bengaluru,"Apr 25, 2012",T20,/ci/engine/match/548340.html
2012,Warriors,Chargers,Chargers,18 runs,Pune,"Apr 26, 2012",T20,/ci/engine/match/548341.html
2012,Daredevils,Mum Indians,Daredevils,37 runs,Delhi,"Apr 27, 2012",T20,/ci/engine/match/548342.html
2012,Super Kings,Kings XI,Kings XI,7 runs,Chennai,"Apr 28, 2012",T20,/ci/engine/match/548343.html
2012,KKR,RCB,KKR,47 runs,Kolkata,"Apr 28, 2012",T20,/ci/engine/match/548344.html
2012,Daredevils,Royals,Daredevils,1 run,Delhi,"Apr 29, 2012",T20,/ci/engine/match/548345.html
2012,Mum Indians,Chargers,Mum Indians,5 wickets,Mumbai,"Apr 29, 2012",T20,/ci/engine/match/548346.html
2012,Super Kings,KKR,KKR,5 wickets,Chennai,"Apr 30, 2012",T20,/ci/engine/match/548347.html
2012,Chargers,Warriors,Chargers,13 runs,Cuttack,"May 1, 2012",T20,/ci/engine/match/548348.html
2012,Royals,Daredevils,Daredevils,6 wickets,Jaipur,"May 1, 2012",T20,/ci/engine/match/548349.html
2012,RCB,Kings XI,Kings XI,4 wickets,Bengaluru,"May 2, 2012",T20,/ci/engine/match/548350.html
2012,Warriors,Mum Indians,Mum Indians,1 run,Pune,"May 3, 2012",T20,/ci/engine/match/548351.html
2012,Super Kings,Chargers,Super Kings,10 runs,Chennai,"May 4, 2012",T20,/ci/engine/match/548352.html
2012,KKR,Warriors,KKR,7 runs,Kolkata,"May 5, 2012",T20,/ci/engine/match/548353.html
2012,Kings XI,Royals,Royals,43 runs,Mohali,"May 5, 2012",T20,/ci/engine/match/548354.html
2012,Mum Indians,Super Kings,Mum Indians,2 wickets,Mumbai,"May 6, 2012",T20,/ci/engine/match/548355.html
2012,RCB,Chargers,RCB,5 wickets,Bengaluru,"May 6, 2012",T20,/ci/engine/match/548356.html
2012,Daredevils,KKR,KKR,6 wickets,Delhi,"May 7, 2012",T20,/ci/engine/match/548357.html
2012,Warriors,Royals,Royals,7 wickets,Pune,"May 8, 2012",T20,/ci/engine/match/548358.html
2012,Chargers,Kings XI,Kings XI,25 runs,Hyderabad (Deccan),"May 8, 2012",T20,/ci/engine/match/548359.html
2012,Mum Indians,RCB,RCB,9 wickets,Mumbai,"May 9, 2012",T20,/ci/engine/match/548360.html
2012,Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),"May 10, 2012",T20,/ci/engine/match/548329.html
2012,Royals,Super Kings,Super Kings,4 wickets,Jaipur,"May 10, 2012",T20,/ci/engine/match/548361.html
2012,Warriors,RCB,RCB,35 runs,Pune,"May 11, 2012",T20,/ci/engine/match/548362.html
2012,KKR,Mum Indians,Mum Indians,27 runs,Kolkata,"May 12, 2012",T20,/ci/engine/match/548363.html
2012,Super Kings,Daredevils,Super Kings,9 wickets,Chennai,"May 12, 2012",T20,/ci/engine/match/548364.html
2012,Royals,Warriors,Royals,45 runs,Jaipur,"May 13, 2012",T20,/ci/engine/match/548365.html
2012,Kings XI,Chargers,Kings XI,4 wickets,Mohali,"May 13, 2012",T20,/ci/engine/match/548366.html
2012,RCB,Mum Indians,Mum Indians,5 wickets,Bengaluru,"May 14, 2012",T20,/ci/engine/match/548367.html
2012,KKR,Super Kings,Super Kings,5 wickets,Kolkata,"May 14, 2012",T20,/ci/engine/match/548368.html
2012,Daredevils,Kings XI,Daredevils,5 wickets,Delhi,"May 15, 2012",T20,/ci/engine/match/548369.html
2012,Mum Indians,KKR,KKR,32 runs,Mumbai,"May 16, 2012",T20,/ci/engine/match/548370.html
2012,Kings XI,Super Kings,Kings XI,6 wickets,Dharamsala,"May 17, 2012",T20,/ci/engine/match/548371.html
2012,Daredevils,RCB,RCB,21 runs,Delhi,"May 17, 2012",T20,/ci/engine/match/548372.html
2012,Chargers,Royals,Chargers,5 wickets,Hyderabad (Deccan),"May 18, 2012",T20,/ci/engine/match/548373.html
2012,Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,"May 19, 2012",T20,/ci/engine/match/548374.html
2012,Warriors,KKR,KKR,34 runs,Pune,"May 19, 2012",T20,/ci/engine/match/548375.html
2012,Chargers,RCB,Chargers,9 runs,Hyderabad (Deccan),"May 20, 2012",T20,/ci/engine/match/548376.html
2012,Royals,Mum Indians,Mum Indians,10 wickets,Jaipur,"May 20, 2012",T20,/ci/engine/match/548377.html
2012,Daredevils,KKR,KKR,18 runs,Pune,"May 22, 2012",T20,/ci/engine/match/548378.html
2012,Super Kings,Mum Indians,Super Kings,38 runs,Bengaluru,"May 23, 2012",T20,/ci/engine/match/548379.html
2012,Daredevils,Super Kings,Super Kings,86 runs,Chennai,"May 25, 2012",T20,/ci/engine/match/548380.html
2012,KKR,Super Kings,KKR,5 wickets,Chennai,"May 27, 2012",T20,/ci/engine/match/548381.html
