Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2008,335970,RCB,335971,KKR,335971,KKR,140 runs,Bengaluru,"Apr 18, 2008",/ci/engine/match/335982.html
2008,335973,Kings XI,335974,Super Kings,335974,Super Kings,33 runs,Mohali,"Apr 19, 2008",/ci/engine/match/335983.html
2008,335975,Daredevils,335977,Royals,335975,Daredevils,9 wickets,Delhi,"Apr 19, 2008",/ci/engine/match/335984.html
2008,335971,KKR,335980,Chargers,335971,KKR,5 wickets,Kolkata,"Apr 20, 2008",/ci/engine/match/335986.html
2008,335978,Mum Indians,335970,RCB,335970,RCB,5 wickets,Mumbai,"Apr 20, 2008",/ci/engine/match/335985.html
2008,335977,Royals,335973,Kings XI,335977,Royals,6 wickets,Jaipur,"Apr 21, 2008",/ci/engine/match/335987.html
2008,335980,Chargers,335975,Daredevils,335975,Daredevils,9 wickets,Hyderabad (Deccan),"Apr 22, 2008",/ci/engine/match/335988.html
2008,335974,Super Kings,335978,Mum Indians,335974,Super Kings,6 runs,Chennai,"Apr 23, 2008",/ci/engine/match/335989.html
2008,335980,Chargers,335977,Royals,335977,Royals,3 wickets,Hyderabad (Deccan),"Apr 24, 2008",/ci/engine/match/335990.html
2008,335973,Kings XI,335978,Mum Indians,335973,Kings XI,66 runs,Mohali,"Apr 25, 2008",/ci/engine/match/335991.html
2008,335974,Super Kings,335971,KKR,335974,Super Kings,9 wickets,Chennai,"Apr 26, 2008",/ci/engine/match/335993.html
2008,335970,RCB,335977,Royals,335977,Royals,7 wickets,Bengaluru,"Apr 26, 2008",/ci/engine/match/335992.html
2008,335973,Kings XI,335975,Daredevils,335973,Kings XI,4 wickets,Mohali,"Apr 27, 2008",/ci/engine/match/335995.html
2008,335978,Mum Indians,335980,Chargers,335980,Chargers,10 wickets,Mumbai,"Apr 27, 2008",/ci/engine/match/335994.html
2008,335970,RCB,335974,Super Kings,335974,Super Kings,13 runs,Bengaluru,"Apr 28, 2008",/ci/engine/match/335996.html
2008,335971,KKR,335978,Mum Indians,335978,Mum Indians,7 wickets,Kolkata,"Apr 29, 2008",/ci/engine/match/335997.html
2008,335975,Daredevils,335970,RCB,335975,Daredevils,10 runs,Delhi,"Apr 30, 2008",/ci/engine/match/335998.html
2008,335977,Royals,335971,KKR,335977,Royals,45 runs,Jaipur,"May 1, 2008",/ci/engine/match/336000.html
2008,335980,Chargers,335973,Kings XI,335973,Kings XI,7 wickets,Hyderabad (Deccan),"May 1, 2008",/ci/engine/match/335999.html
2008,335974,Super Kings,335975,Daredevils,335975,Daredevils,8 wickets,Chennai,"May 2, 2008",/ci/engine/match/336001.html
2008,335970,RCB,335980,Chargers,335970,RCB,3 runs,Bengaluru,"May 3, 2008",/ci/engine/match/336034.html
2008,335973,Kings XI,335971,KKR,335973,Kings XI,9 runs,Mohali,"May 3, 2008",/ci/engine/match/336003.html
2008,335978,Mum Indians,335975,Daredevils,335978,Mum Indians,29 runs,Mumbai,"May 4, 2008",/ci/engine/match/336004.html
2008,335977,Royals,335974,Super Kings,335977,Royals,8 wickets,Jaipur,"May 4, 2008",/ci/engine/match/336005.html
2008,335970,RCB,335973,Kings XI,335973,Kings XI,6 wickets,Bengaluru,"May 5, 2008",/ci/engine/match/336006.html
2008,335974,Super Kings,335980,Chargers,335980,Chargers,7 wickets,Chennai,"May 6, 2008",/ci/engine/match/336007.html
2008,335978,Mum Indians,335977,Royals,335978,Mum Indians,7 wickets,Mumbai,"May 7, 2008",/ci/engine/match/336008.html
2008,335975,Daredevils,335974,Super Kings,335974,Super Kings,4 wickets,Delhi,"May 8, 2008",/ci/engine/match/336009.html
2008,335971,KKR,335970,RCB,335971,KKR,5 runs,Kolkata,"May 8, 2008",/ci/engine/match/336010.html
2008,335977,Royals,335980,Chargers,335977,Royals,8 wickets,Jaipur,"May 9, 2008",/ci/engine/match/336011.html
2008,335974,Super Kings,335973,Kings XI,335974,Super Kings,18 runs,Chennai,"May 10, 2008",/ci/engine/match/336013.html
2008,335980,Chargers,335971,KKR,335971,KKR,23 runs,Hyderabad (Deccan),"May 11, 2008",/ci/engine/match/336014.html
2008,335977,Royals,335975,Daredevils,335977,Royals,3 wickets,Jaipur,"May 11, 2008",/ci/engine/match/336015.html
2008,335973,Kings XI,335970,RCB,335973,Kings XI,9 wickets,Mohali,"May 12, 2008",/ci/engine/match/336016.html
2008,335971,KKR,335975,Daredevils,335971,KKR,23 runs,Kolkata,"May 13, 2008",/ci/engine/match/336017.html
2008,335978,Mum Indians,335974,Super Kings,335978,Mum Indians,9 wickets,Mumbai,"May 14, 2008",/ci/engine/match/336018.html
2008,335975,Daredevils,335980,Chargers,335975,Daredevils,12 runs,Delhi,"May 15, 2008",/ci/engine/match/336020.html
2008,335978,Mum Indians,335971,KKR,335978,Mum Indians,8 wickets,Mumbai,"May 16, 2008",/ci/engine/match/336021.html
2008,335977,Royals,335970,RCB,335977,Royals,65 runs,Jaipur,"May 17, 2008",/ci/engine/match/336023.html
2008,335975,Daredevils,335973,Kings XI,335973,Kings XI,6 runs,Delhi,"May 17, 2008",/ci/engine/match/336022.html
2008,335971,KKR,335974,Super Kings,335974,Super Kings,3 runs,Kolkata,"May 18, 2008",/ci/engine/match/336025.html
2008,335980,Chargers,335978,Mum Indians,335978,Mum Indians,25 runs,Hyderabad (Deccan),"May 18, 2008",/ci/engine/match/336024.html
2008,335970,RCB,335975,Daredevils,335975,Daredevils,5 wickets,Bengaluru,"May 19, 2008",/ci/engine/match/336026.html
2008,335971,KKR,335977,Royals,335977,Royals,6 wickets,Kolkata,"May 20, 2008",/ci/engine/match/336027.html
