Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2009,335974,Super Kings,335978,Mum Indians,335978,Mum Indians,19 runs,Cape Town,"Apr 18, 2009",/ci/engine/match/392181.html
2009,335970,RCB,335977,Royals,335970,RCB,75 runs,Cape Town,"Apr 18, 2009",/ci/engine/match/392182.html
2009,335975,Daredevils,335973,Kings XI,335975,Daredevils,10 wickets,Cape Town,"Apr 19, 2009",/ci/engine/match/392183.html
2009,335980,Chargers,335971,KKR,335980,Chargers,8 wickets,Cape Town,"Apr 19, 2009",/ci/engine/match/392184.html
2009,335970,RCB,335974,Super Kings,335974,Super Kings,92 runs,Port Elizabeth,"Apr 20, 2009",/ci/engine/match/392185.html
2009,335973,Kings XI,335971,KKR,335971,KKR,11 runs,Durban,"Apr 21, 2009",/ci/engine/match/392186.html
2009,335978,Mum Indians,335977,Royals,,abandoned,,Durban,"Apr 21, 2009",/ci/engine/match/392187.html
2009,335970,RCB,335980,Chargers,335980,Chargers,24 runs,Cape Town,"Apr 22, 2009",/ci/engine/match/392188.html
2009,335974,Super Kings,335975,Daredevils,335975,Daredevils,9 runs,Durban,"Apr 23, 2009",/ci/engine/match/392189.html
2009,335971,KKR,335977,Royals,,tied,,Cape Town,"Apr 23, 2009",/ci/engine/match/392190.html
2009,335970,RCB,335973,Kings XI,335973,Kings XI,7 wickets,Durban,"Apr 24, 2009",/ci/engine/match/392191.html
2009,335980,Chargers,335978,Mum Indians,335980,Chargers,12 runs,Durban,"Apr 25, 2009",/ci/engine/match/392192.html
2009,335974,Super Kings,335971,KKR,,abandoned,,Cape Town,"Apr 25, 2009",/ci/engine/match/392193.html
2009,335970,RCB,335975,Daredevils,335975,Daredevils,6 wickets,Port Elizabeth,"Apr 26, 2009",/ci/engine/match/392194.html
2009,335973,Kings XI,335977,Royals,335973,Kings XI,27 runs,Cape Town,"Apr 26, 2009",/ci/engine/match/392195.html
2009,335974,Super Kings,335980,Chargers,335980,Chargers,6 wickets,Durban,"Apr 27, 2009",/ci/engine/match/392196.html
2009,335971,KKR,335978,Mum Indians,335978,Mum Indians,92 runs,Port Elizabeth,"Apr 27, 2009",/ci/engine/match/392197.html
