Season,Team 1 ID,Team 1,Team 2 ID,Team 2,Winner ID,Winner,Margin,Ground,Match Date,Match Link
2015,335971,KKR,335978,Mum Indians,335971,KKR,7 wickets,Kolkata,"Apr 8, 2015",/ci/engine/match/829705.html
2015,335974,Super Kings,335975,Daredevils,335974,Super Kings,1 run,Chennai,"Apr 9, 2015",/ci/engine/match/829707.html
2015,335973,Kings XI,335977,Royals,335977,Royals,26 runs,Pune,"Apr 10, 2015",/ci/engine/match/829709.html
2015,335974,Super Kings,628333,Sunrisers,335974,Super Kings,45 runs,Chennai,"Apr 11, 2015",/ci/engine/match/829711.html
2015,335971,KKR,335970,RCB,335970,RCB,3 wickets,Kolkata,"Apr 11, 2015",/ci/engine/match/829713.html
2015,335975,Daredevils,335977,Royals,335977,Royals,3 wickets,Delhi,"Apr 12, 2015",/ci/engine/match/829715.html
2015,335978,Mum Indians,335973,Kings XI,335973,Kings XI,18 runs,Mumbai,"Apr 12, 2015",/ci/engine/match/829717.html
2015,335970,RCB,628333,Sunrisers,628333,Sunrisers,8 wickets,Bengaluru,"Apr 13, 2015",/ci/engine/match/829719.html
2015,335977,Royals,335978,Mum Indians,335977,Royals,7 wickets,Ahmedabad,"Apr 14, 2015",/ci/engine/match/829721.html
2015,335973,Kings XI,335975,Daredevils,335975,Daredevils,5 wickets,Pune,"Apr 15, 2015",/ci/engine/match/829725.html
2015,628333,Sunrisers,335977,Royals,335977,Royals,6 wickets,Visakhapatnam,"Apr 16, 2015",/ci/engine/match/829727.html
2015,335978,Mum Indians,335974,Super Kings,335974,Super Kings,6 wickets,Mumbai,"Apr 17, 2015",/ci/engine/match/829729.html
2015,628333,Sunrisers,335975,Daredevils,335975,Daredevils,4 runs,Visakhapatnam,"Apr 18, 2015",/ci/engine/match/829731.html
2015,335973,Kings XI,335971,KKR,335971,KKR,4 wickets,Pune,"Apr 18, 2015",/ci/engine/match/829733.html
2015,335977,Royals,335974,Super Kings,335977,Royals,8 wickets,Ahmedabad,"Apr 19, 2015",/ci/engine/match/829735.html
2015,335970,RCB,335978,Mum Indians,335978,Mum Indians,18 runs,Bengaluru,"Apr 19, 2015",/ci/engine/match/829737.html
2015,335975,Daredevils,335971,KKR,335971,KKR,6 wickets,Delhi,"Apr 20, 2015",/ci/engine/match/829739.html
2015,335977,Royals,335973,Kings XI,,tied,,Ahmedabad,"Apr 21, 2015",/ci/engine/match/829741.html
2015,628333,Sunrisers,335971,KKR,628333,Sunrisers,16 runs,Visakhapatnam,"Apr 22, 2015",/ci/engine/match/829743.html
2015,335970,RCB,335974,Super Kings,335974,Super Kings,27 runs,Bengaluru,"Apr 22, 2015",/ci/engine/match/829745.html
2015,335975,Daredevils,335978,Mum Indians,335975,Daredevils,37 runs,Delhi,"Apr 23, 2015",/ci/engine/match/829747.html
2015,335977,Royals,335970,RCB,335970,RCB,9 wickets,Ahmedabad,"Apr 24, 2015",/ci/engine/match/829749.html
2015,335978,Mum Indians,628333,Sunrisers,335978,Mum Indians,20 runs,Mumbai,"Apr 25, 2015",/ci/engine/match/829751.html
2015,335974,Super Kings,335973,Kings XI,335974,Super Kings,97 runs,Chennai,"Apr 25, 2015",/ci/engine/match/829753.html
2015,335971,KKR,335977,Royals,,abandoned,,Kolkata,"Apr 26, 2015",/ci/engine/match/829755.html
2015,335975,Daredevils,335970,RCB,335970,RCB,10 wickets,Delhi,"Apr 26, 2015",/ci/engine/match/829757.html
2015,335973,Kings XI,628333,Sunrisers,628333,Sunrisers,20 runs,Mohali,"Apr 27, 2015",/ci/engine/match/829759.html
2015,335974,Super Kings,335971,KKR,335974,Super Kings,2 runs,Chennai,"Apr 28, 2015",/ci/engine/match/829765.html
2015,335970,RCB,335977,Royals,,no result,,Bengaluru,"Apr 29, 2015",/ci/engine/match/829763.html
2015,335971,KKR,335974,Super Kings,335971,KKR,7 wickets,Kolkata,"Apr 30, 2015",/ci/engine/match/829723.html
2015,335975,Daredevils,335973,Kings XI,335975,Daredevils,9 wickets,Delhi,"May 1, 2015",/ci/engine/match/829767.html
2015,335978,Mum Indians,335977,Royals,335978,Mum Indians,8 runs,Mumbai,"May 1, 2015",/ci/engine/match/829769.html
2015,335970,RCB,335971,KKR,335970,RCB,7 wickets,Bengaluru,"May 2, 2015",/ci/engine/match/829771.html
2015,628333,Sunrisers,335974,Super Kings,628333,Sunrisers,22 runs,Hyderabad (Deccan),"May 2, 2015",/ci/engine/match/829773.html
2015,335973,Kings XI,335978,Mum Indians,335978,Mum Indians,23 runs,Mohali,"May 3, 2015",/ci/engine/match/829775.html
2015,335977,Royals,335975,Daredevils,335977,Royals,14 runs,Mumbai (BS),"May 3, 2015",/ci/engine/match/829777.html
2015,335974,Super Kings,335970,RCB,335974,Super Kings,24 runs,Chennai,"May 4, 2015",/ci/engine/match/829779.html
2015,335971,KKR,628333,Sunrisers,335971,KKR,35 runs,Kolkata,"May 4, 2015",/ci/engine/match/829781.html
2015,335978,Mum Indians,335975,Daredevils,335978,Mum Indians,5 wickets,Mumbai,"May 5, 2015",/ci/engine/match/829783.html
2015,335970,RCB,335973,Kings XI,335970,RCB,138 runs,Bengaluru,"May 6, 2015",/ci/engine/match/829785.html
2015,335977,Royals,628333,Sunrisers,628333,Sunrisers,7 runs,Mumbai (BS),"May 7, 2015",/ci/engine/match/829787.html
2015,335971,KKR,335975,Daredevils,335971,KKR,13 runs,Kolkata,"May 7, 2015",/ci/engine/match/829761.html
2015,335974,Super Kings,335978,Mum Indians,335978,Mum Indians,6 wickets,Chennai,"May 8, 2015",/ci/engine/match/829789.html
2015,335971,KKR,335973,Kings XI,335971,KKR,1 wicket,Kolkata,"May 9, 2015",/ci/engine/match/829791.html
2015,335975,Daredevils,628333,Sunrisers,628333,Sunrisers,6 runs,Raipur,"May 9, 2015",/ci/engine/match/829793.html
2015,335978,Mum Indians,335970,RCB,335970,RCB,39 runs,Mumbai,"May 10, 2015",/ci/engine/match/829795.html
2015,335974,Super Kings,335977,Royals,335974,Super Kings,12 runs,Chennai,"May 10, 2015",/ci/engine/match/829797.html
2015,628333,Sunrisers,335973,Kings XI,628333,Sunrisers,5 runs,Hyderabad (Deccan),"May 11, 2015",/ci/engine/match/829799.html
2015,335975,Daredevils,335974,Super Kings,335975,Daredevils,6 wickets,Raipur,"May 12, 2015",/ci/engine/match/829801.html
2015,335973,Kings XI,335970,RCB,335973,Kings XI,22 runs,Mohali,"May 13, 2015",/ci/engine/match/829803.html
2015,335978,Mum Indians,335971,KKR,335978,Mum Indians,5 runs,Mumbai,"May 14, 2015",/ci/engine/match/829805.html
2015,628333,Sunrisers,335970,RCB,335970,RCB,6 wickets,Hyderabad (Deccan),"May 15, 2015",/ci/engine/match/829807.html
2015,335973,Kings XI,335974,Super Kings,335974,Super Kings,7 wickets,Mohali,"May 16, 2015",/ci/engine/match/829809.html
2015,335977,Royals,335971,KKR,335977,Royals,9 runs,Mumbai (BS),"May 16, 2015",/ci/engine/match/829811.html
2015,335970,RCB,335975,Daredevils,,no result,,Bengaluru,"May 17, 2015",/ci/engine/match/829813.html
2015,628333,Sunrisers,335978,Mum Indians,335978,Mum Indians,9 wickets,Hyderabad (Deccan),"May 17, 2015",/ci/engine/match/829815.html
2015,335974,Super Kings,335978,Mum Indians,335978,Mum Indians,25 runs,Mumbai,"May 19, 2015",/ci/engine/match/829817.html
2015,335970,RCB,335977,Royals,335970,RCB,71 runs,Pune,"May 20, 2015",/ci/engine/match/829819.html
2015,335974,Super Kings,335970,RCB,335974,Super Kings,3 wickets,Ranchi,"May 22, 2015",/ci/engine/match/829821.html
2015,335978,Mum Indians,335974,Super Kings,335978,Mum Indians,41 runs,Kolkata,"May 24, 2015",/ci/engine/match/829823.html
