Match ID,Innings,Team ID,Team,Total,Wickets,Overs,RR,LB,NB,W,B,PEN
548324,1,335977,Rajasthan Royals,195,2,20.0,9.75,1.0,,1.0,4.0,
548324,2,335970,Royal Challengers Bangalore,136,10,19.5,6.85,1.0,,2.0,,
548323,1,335973,Kings XI Punjab,134,9,20.0,6.7,6.0,,1.0,,
548323,2,335971,Kolkata Knight Riders,132,7,20.0,6.6,3.0,,2.0,4.0,
548322,1,335974,Chennai Super Kings,155,5,20.0,7.75,1.0,2.0,3.0,,
548322,2,474666,Pune Warriors,156,3,19.2,8.06,2.0,,3.0,,
548320,1,335977,Rajasthan Royals,131,5,20.0,6.55,,,9.0,1.0,
548320,2,335971,Kolkata Knight Riders,137,5,19.2,7.08,2.0,,6.0,4.0,
548319,1,474666,Pune Warriors,115,10,19.0,6.05,3.0,,5.0,4.0,
548319,2,335973,Kings XI Punjab,116,3,17.4,6.56,,,,,
548318,1,335970,Royal Challengers Bangalore,205,8,20.0,10.25,,,14.0,2.0,
548318,2,335974,Chennai Super Kings,208,5,20.0,10.4,1.0,2.0,2.0,,
548317,1,335978,Mumbai Indians,197,6,20.0,9.85,5.0,,,1.0,
548317,2,335977,Rajasthan Royals,170,10,19.4,8.64,1.0,1.0,2.0,,
548316,1,335974,Chennai Super Kings,110,8,20.0,5.5,1.0,,4.0,1.0,
548316,2,335975,Delhi Daredevils,111,2,13.2,8.32,1.0,,,,
548315,1,335971,Kolkata Knight Riders,165,8,20.0,8.25,4.0,,2.0,,
548315,2,335970,Royal Challengers Bangalore,123,9,20.0,6.15,1.0,,8.0,1.0,
548314,1,335980,Deccan Chargers,138,9,20.0,6.9,,,4.0,1.0,
548314,2,335978,Mumbai Indians,142,5,20.0,7.1,2.0,,,2.0,
548313,1,474666,Pune Warriors,166,6,20.0,8.3,7.0,2.0,3.0,,
548313,2,335973,Kings XI Punjab,144,8,20.0,7.2,2.0,1.0,4.0,4.0,
548312,1,335977,Rajasthan Royals,164,5,20.0,8.2,,1.0,2.0,,
548312,2,335971,Kolkata Knight Riders,142,10,20.0,7.1,1.0,,5.0,1.0,
548311,1,335974,Chennai Super Kings,193,6,20.0,9.65,2.0,1.0,7.0,1.0,
548311,2,335980,Deccan Chargers,119,10,17.1,6.93,1.0,,3.0,,
548310,1,335970,Royal Challengers Bangalore,157,8,20.0,7.85,4.0,,2.0,,
548310,2,335975,Delhi Daredevils,137,7,20.0,6.85,2.0,,2.0,,
548309,1,335977,Rajasthan Royals,191,4,20.0,9.55,8.0,,11.0,,
548309,2,335973,Kings XI Punjab,160,9,20.0,8.0,4.0,1.0,1.0,,
548308,1,474666,Pune Warriors,129,9,20.0,6.45,5.0,,3.0,,
548308,2,335978,Mumbai Indians,101,9,20.0,5.05,1.0,,4.0,,
548307,1,335971,Kolkata Knight Riders,97,9,12.0,8.08,5.0,,2.0,,
548307,2,335975,Delhi Daredevils,100,2,11.1,8.95,4.0,,1.0,,
548306,1,335974,Chennai Super Kings,112,10,19.5,5.64,5.0,,7.0,,
548306,2,335978,Mumbai Indians,115,2,16.5,6.83,3.0,,3.0,,
501271,1,335974,Chennai Super Kings,205,5,20.0,10.25,7.0,,2.0,,
501271,2,335970,Royal Challengers Bangalore,147,8,20.0,7.35,2.0,1.0,1.0,2.0,
501270,1,335970,Royal Challengers Bangalore,185,4,20.0,9.25,,1.0,13.0,,
501270,2,335978,Mumbai Indians,142,8,20.0,7.1,2.0,,2.0,,
501269,1,335971,Kolkata Knight Riders,147,7,20.0,7.35,1.0,,4.0,1.0,
501269,2,335978,Mumbai Indians,148,6,19.2,7.65,3.0,,1.0,,
501268,1,335970,Royal Challengers Bangalore,175,4,20.0,8.75,7.0,,5.0,2.0,
501268,2,335974,Chennai Super Kings,177,4,19.4,9.0,1.0,2.0,4.0,1.0,
501267,1,335971,Kolkata Knight Riders,175,7,20.0,8.75,2.0,,3.0,1.0,
501267,2,335978,Mumbai Indians,178,5,20.0,8.9,9.0,,7.0,,
501266,1,335974,Chennai Super Kings,128,8,20.0,6.4,4.0,,6.0,,
