Match ID,Innings,Team ID,Team,Total,Wickets,Overs,RR,LB,NB,W,B,PEN
419135,1,335971,Kolkata Knight Riders,181,6,20.0,9.05,4.0,1.0,9.0,,
419135,2,335980,Deccan Chargers,157,5,20.0,7.85,2.0,,5.0,,
419134,1,335975,Delhi Daredevils,188,6,20.0,9.4,4.0,5.0,4.0,,
419134,2,335977,Rajasthan Royals,121,10,17.4,6.84,,,3.0,,
419133,1,335970,Royal Challengers Bangalore,161,4,20.0,8.05,1.0,,4.0,,
419133,2,335974,Chennai Super Kings,162,5,18.5,8.6,5.0,2.0,2.0,1.0,
419132,1,335973,Kings XI Punjab,163,10,20.0,8.15,6.0,1.0,10.0,4.0,
419132,2,335978,Mumbai Indians,164,6,19.3,8.41,2.0,,15.0,,
419131,1,335975,Delhi Daredevils,177,4,20.0,8.85,,1.0,3.0,,
419131,2,335971,Kolkata Knight Riders,137,9,20.0,6.85,3.0,1.0,5.0,2.0,
419130,1,335978,Mumbai Indians,172,7,20.0,8.6,,4.0,5.0,1.0,
419130,2,335980,Deccan Chargers,131,10,17.4,7.41,5.0,,4.0,2.0,
